typeListe;region;prefProv;circonscription;nSieges;quota_estimee;PDN_votes_2021;PDN_votes_simulees;PDN_sieges_simules
locale;Rabat - Salé - Kénitra;Kénitra;El-Gharb;3;34718;0;18227;1
locale;Rabat - Salé - Kénitra;Kénitra;Kénitra;4;33573;0;17626;1
locale;Rabat - Salé - Kénitra;Khémisset;Khémisset - Oulmès;3;25997;0;15887;1
locale;Rabat - Salé - Kénitra;Khémisset;Tifelt - Rommani;3;31252;0;19098;0
locale;Rabat - Salé - Kénitra;Rabat;Rabat - Challah;3;13428;0;7050;1
locale;Rabat - Salé - Kénitra;Rabat;Rabat - El Mouhit;4;11938;38;6268;1
locale;Rabat - Salé - Kénitra;Salé;Salé - Al-Jadida;3;18943;39;9945;0
locale;Rabat - Salé - Kénitra;Salé;Salé - Médina;4;12756;0;6697;1
locale;Rabat - Salé - Kénitra;Sidi-Kacem;Sidi-Kacem;5;32059;0;16831;0
locale;Rabat - Salé - Kénitra;Sidi Slimane;Sidi Slimane;3;29000;0;17722;1
locale;Rabat - Salé - Kénitra;Skhirate - Temara;Skhirate - Témara;4;24507;0;12866;0
regionale;Rabat - Salé - Kénitra;;Circonscription régionale : Rabat - Salé - Kénitra;10;95133;2906;49945;1
locale;Souss - Massa;Agadir - Ida-ou-Tanane;Agadir - Ida-ou-Tanane;4;24586;0;12908;1
locale;Souss - Massa;Chtouka - Aït-Baha;Chtouka - Aït-Baha;3;34020;0;17860;0
locale;Souss - Massa;Inezgane - Aït-Melloul;Inézgane - Aït-Melloul;3;23954;0;12576;1
locale;Souss - Massa;Taroudannt;Taroudannt - Al-Janoubia;4;37567;0;19723;1
locale;Souss - Massa;Taroudannt;Taroudannt - Chamalia;3;42865;0;22504;0
locale;Souss - Massa;Tata;Tata;2;25200;0;13230;0
locale;Souss - Massa;Tiznit;Tiznit;2;32788;0;20037;1
regionale;Souss - Massa;;Circonscription régionale : Souss - Massa;7;96775;0;50807;1
locale;Tanger - Tétouan - Al Hoceima;Al Hoceima;Al-Hoceïma;4;26134;0;13720;0
locale;Tanger - Tétouan - Al Hoceima;Chefchaouen;Chefchaouen;4;30298;0;15907;0
locale;Tanger - Tétouan - Al Hoceima;Fahs - Anjra;Fahs - Anjra;2;14555;0;7641;0
locale;Tanger - Tétouan - Al Hoceima;Larache;Larache;4;27441;0;16770;1
locale;Tanger - Tétouan - Al Hoceima;M'Diq - Fnideq;M'Diq - Fnideq;2;16657;0;8745;1
locale;Tanger - Tétouan - Al Hoceima;Ouezzane;Ouezzane;3;32158;0;16883;0
locale;Tanger - Tétouan - Al Hoceima;Tanger - Assilah;Tanger - Assilah;5;23229;0;12195;1
locale;Tanger - Tétouan - Al Hoceima;Tétouan;Tétouan;5;17217;0;9039;1
regionale;Tanger - Tétouan - Al Hoceima;;Circonscription régionale : Tanger - Tétouan - Al Hoceima;8;86998;0;45674;1
